Time,Position,Percentage,Lots,Number
2024-01-29 17:08:23.165499,Short,28.0,6351.81,23248.0
2024-01-29 17:08:23.165499,Long,72.0,16154.67,54098.0
2024-01-29 17:08:30.173487,Short,28.0,6351.81,23248.0
2024-01-29 17:08:30.173487,Long,72.0,16154.67,54098.0
2024-01-29 17:08:36.445769,Short,28.0,6351.81,23248.0
2024-01-29 17:08:36.445769,Long,72.0,16154.67,54098.0
2024-01-29 17:08:42.710937,Short,28.0,6351.81,23248.0
2024-01-29 17:08:42.710937,Long,72.0,16154.67,54098.0
2024-01-29 17:08:49.028274,Short,28.0,6351.81,23248.0
2024-01-29 17:08:49.028274,Long,72.0,16154.67,54098.0
2024-01-29 17:08:55.485697,Short,28.0,6351.81,23248.0
2024-01-29 17:08:55.485697,Long,72.0,16154.67,54098.0
2024-01-29 17:09:01.677427,Short,28.0,6351.81,23248.0
2024-01-29 17:09:01.677427,Long,72.0,16154.67,54098.0
2024-01-29 17:09:07.989247,Short,28.0,6351.81,23248.0
2024-01-29 17:09:07.989247,Long,72.0,16154.67,54098.0
2024-01-29 17:09:14.261451,Short,28.0,6351.81,23248.0
2024-01-29 17:09:14.261451,Long,72.0,16154.67,54098.0
2024-01-29 17:09:20.489409,Short,28.0,6351.66,23249.0
2024-01-29 17:09:20.489409,Long,72.0,16149.74,54080.0
2024-01-29 17:09:26.845801,Short,28.0,6351.66,23249.0
2024-01-29 17:09:26.845801,Long,72.0,16149.74,54080.0
2024-01-29 17:09:33.079628,Short,28.0,6351.66,23249.0
2024-01-29 17:09:33.079628,Long,72.0,16149.74,54080.0
2024-01-29 17:09:39.335522,Short,28.0,6351.66,23249.0
2024-01-29 17:09:39.335522,Long,72.0,16149.74,54080.0
2024-01-29 17:09:45.601808,Short,28.0,6351.66,23249.0
2024-01-29 17:09:45.601808,Long,72.0,16149.74,54080.0
2024-01-29 17:09:51.922425,Short,28.0,6351.66,23249.0
2024-01-29 17:09:51.922425,Long,72.0,16149.74,54080.0
2024-01-29 17:09:58.243711,Short,28.0,6351.66,23249.0
2024-01-29 17:09:58.243711,Long,72.0,16149.74,54080.0
2024-01-29 17:10:04.518340,Short,28.0,6351.66,23249.0
2024-01-29 17:10:04.518340,Long,72.0,16149.74,54080.0
2024-01-29 17:10:11.296883,Short,28.0,6351.66,23249.0
2024-01-29 17:10:11.296883,Long,72.0,16149.74,54080.0
2024-01-29 17:10:17.726357,Short,28.0,6355.23,23229.0
2024-01-29 17:10:17.726357,Long,72.0,16109.4,53944.0
2024-01-29 17:10:24.125898,Short,28.0,6355.23,23229.0
2024-01-29 17:10:24.125898,Long,72.0,16109.4,53944.0
2024-01-29 17:10:30.221257,Short,28.0,6355.23,23229.0
2024-01-29 17:10:30.221257,Long,72.0,16109.4,53944.0
2024-01-29 17:10:36.334312,Short,28.0,6355.23,23229.0
2024-01-29 17:10:36.334312,Long,72.0,16109.4,53944.0
2024-01-29 17:10:42.555700,Short,28.0,6355.23,23229.0
2024-01-29 17:10:42.555700,Long,72.0,16109.4,53944.0
2024-01-29 17:10:48.703917,Short,28.0,6355.23,23229.0
2024-01-29 17:10:48.703917,Long,72.0,16109.4,53944.0
2024-01-29 17:10:54.780094,Short,28.0,6355.23,23229.0
2024-01-29 17:10:54.780094,Long,72.0,16109.4,53944.0
2024-01-29 17:11:01.006619,Short,28.0,6355.23,23229.0
